Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
(T) FRIENDSHIP STP,0.12833698630137,0.0016644535008543185,0.0006947151397291064,-78.13361,42.20802,Discharge Monitoring Reports
14 MILE RUN STP,0.335666666666667,0.004353394719285764,0.0023769202772239238,-79.41058,40.298354,Discharge Monitoring Reports
26TH WARD WATER POLLUTION CONTROL PLANT,,,,-73.88111,40.65492,Discharge Monitoring Reports
ABBOTTSTOWN-PARADISE STP,0.154191666666667,0.00199977315022206,0.0008785852587252623,-76.982726,39.89252,Discharge Monitoring Reports
ABERDEEN WWTP,4.0,0.061783921939244445,0.05659886004025106,-76.1455,39.5101,Clean Watershed Needs Survey
ABERDEEN WWTP,0.617074081473364,0.008003079585980892,0.005179841450483707,-76.15004,39.51003,Discharge Monitoring Reports
ABINGTON REGIONAL WASTEWATER AUTHORITY - CHINCHILLA,2.39333333333333,0.0310400934304585,0.029338382930797272,-75.67005,41.46751,Discharge Monitoring Reports
ABINGTON WWTP,3.75683333333333,0.048723868106961374,0.052234832399179046,-75.15459,40.13123,Discharge Monitoring Reports
AC WAGNER YOUTH CORR FAC,0.640166666666667,0.008302576522729201,0.005429123592786735,-74.669646,40.159193,Discharge Monitoring Reports
ACADEMY OF THE NEW CHURCH STP,0.0477583333333333,0.0006193968504524991,0.00019614222112910795,-75.059604,40.130459,Discharge Monitoring Reports
ACCIDENT WWTP,0.09,0.001390138243633,0.00044120901317736927,-79.3256,39.6194,Clean Watershed Needs Survey
ACCIDENT WWTP,0.125166666666667,0.0016233363625539293,0.0006728353608767023,-79.325579,39.619445,Discharge Monitoring Reports
ADAMS WASTEWATER TREATMENT PLANT,1.84416666666667,0.023917732159333176,0.02101880216917256,-73.108628,42.644677,Discharge Monitoring Reports
ADAMSTOWN STP,0.40915,0.005306429342787791,0.00306201524498251,-76.06702,40.22794,Discharge Monitoring Reports
ADDISON (V) STP,,,,-77.22238,42.1085,Discharge Monitoring Reports
AKRON (V) WWTP,0.486583561643836,0.006310696050898308,0.0038221835828623324,-78.506417,43.029944,Discharge Monitoring Reports
ALBANY COUNTY WATER PURIFICATION DISTRICT - NORTH PLANT,22.7033333333333,0.29444857431037996,0.521781065398853,-73.72925,42.676083,Discharge Monitoring Reports
ALBANY COUNTY WATER PURIFICATION DISTRICT - SOUTH PLANT,23.3033333333333,0.3022302133319434,0.5394876711741476,-73.759667,42.630306,Discharge Monitoring Reports
ALBERT GALLATIN MUNICIPAL AUTHORITY,0.026,0.00033720435760108163,9.009925635308445e-05,-79.853663,39.719229,Discharge Monitoring Reports
